month,geoid,tract,count
2016-01-01,36067000100,01,56
2016-01-01,36067000200,02,2
2016-01-01,36067000300,03,2
2016-01-01,36067000400,04,6
2016-01-01,36067000501,05.01,5
2016-01-01,36067000600,06,11
2016-01-01,36067000700,07,1
2016-01-01,36067000800,08,2
2016-01-01,36067000900,09,2
2016-01-01,36067001000,10,1
2016-01-01,36067001500,15,2
2016-01-01,36067001600,16,7
2016-01-01,36067001701,17.01,8
2016-01-01,36067001702,17.02,5
2016-01-01,36067001800,18,5
2016-01-01,36067001900,19,10
2016-01-01,36067002000,20,2
2016-01-01,36067002101,21.01,15
2016-01-01,36067002300,23,14
2016-01-01,36067002400,24,2
2016-01-01,36067002700,27,1
2016-01-01,36067002901,29.01,1
2016-01-01,36067003000,30,4
2016-01-01,36067003200,32,17
2016-01-01,36067003400,34,5
2016-01-01,36067003500,35,2
2016-01-01,36067003601,36.01,2
2016-01-01,36067003602,36.02,5
2016-01-01,36067003800,38,2
2016-01-01,36067003900,39,4
2016-01-01,36067004000,40,2
2016-01-01,36067004301,43.01,5
2016-01-01,36067004302,43.02,6
2016-01-01,36067004400,44,6
2016-01-01,36067004500,45,4
2016-01-01,36067004600,46,11
2016-01-01,36067004900,49,5
2016-01-01,36067005000,50,4
2016-01-01,36067005100,51,3
2016-01-01,36067005200,52,2
2016-01-01,36067005300,53,3
2016-01-01,36067005400,54,2
2016-01-01,36067005601,56.01,4
2016-01-01,36067005602,56.02,2
2016-01-01,36067005700,57,2
2016-01-01,36067005800,58,1
2016-01-01,36067005900,59,3
2016-01-01,36067006101,61.01,13
2016-02-01,36067000100,01,41
2016-02-01,36067000200,02,8
2016-02-01,36067000300,03,3
2016-02-01,36067000400,04,4
2016-02-01,36067000501,05.01,2
2016-02-01,36067000600,06,8
2016-02-01,36067000700,07,1
2016-02-01,36067000800,08,1
2016-02-01,36067000900,09,1
2016-02-01,36067001000,10,6
2016-02-01,36067001400,14,2
2016-02-01,36067001500,15,5
2016-02-01,36067001600,16,4
2016-02-01,36067001701,17.01,2
2016-02-01,36067001702,17.02,1
2016-02-01,36067001800,18,1
2016-02-01,36067001900,19,3
2016-02-01,36067002000,20,1
2016-02-01,36067002101,21.01,7
2016-02-01,36067002300,23,9
2016-02-01,36067002400,24,1
2016-02-01,36067002700,27,1
2016-02-01,36067002901,29.01,4
2016-02-01,36067003000,30,1
2016-02-01,36067003200,32,22
2016-02-01,36067003400,34,2
2016-02-01,36067003500,35,4
2016-02-01,36067003601,36.01,2
2016-02-01,36067003602,36.02,6
2016-02-01,36067003900,39,2
2016-02-01,36067004000,40,1
2016-02-01,36067004200,42,2
2016-02-01,36067004301,43.01,1
2016-02-01,36067004302,43.02,6
2016-02-01,36067004400,44,2
2016-02-01,36067004600,46,2
2016-02-01,36067004800,48,2
2016-02-01,36067004900,49,2
2016-02-01,36067005300,53,4
2016-02-01,36067005400,54,2
2016-02-01,36067005602,56.02,1
2016-02-01,36067005700,57,4
2016-02-01,36067005800,58,1
2016-02-01,36067005900,59,1
2016-02-01,36067006000,60,2
2016-02-01,36067006101,61.01,6
2016-03-01,36067000100,01,40
2016-03-01,36067000200,02,2
2016-03-01,36067000300,03,4
2016-03-01,36067000400,04,4
2016-03-01,36067000501,05.01,2
2016-03-01,36067000600,06,4
2016-03-01,36067000700,07,3
2016-03-01,36067000800,08,1
2016-03-01,36067001000,10,3
2016-03-01,36067001400,14,3
2016-03-01,36067001500,15,4
2016-03-01,36067001600,16,4
2016-03-01,36067001701,17.01,4
2016-03-01,36067001702,17.02,5
2016-03-01,36067001800,18,2
2016-03-01,36067001900,19,5
2016-03-01,36067002000,20,2
2016-03-01,36067002101,21.01,6
2016-03-01,36067002300,23,15
2016-03-01,36067002400,24,3
2016-03-01,36067002700,27,3
2016-03-01,36067002901,29.01,4
2016-03-01,36067003000,30,4
2016-03-01,36067003200,32,26
2016-03-01,36067003400,34,3
2016-03-01,36067003500,35,8
2016-03-01,36067003601,36.01,6
2016-03-01,36067003602,36.02,12
2016-03-01,36067003900,39,1
2016-03-01,36067004000,40,2
2016-03-01,36067004200,42,5
2016-03-01,36067004301,43.01,2
2016-03-01,36067004302,43.02,9
2016-03-01,36067004400,44,3
2016-03-01,36067004500,45,4
2016-03-01,36067004600,46,5
2016-03-01,36067004900,49,1
2016-03-01,36067005000,50,2
2016-03-01,36067005100,51,2
2016-03-01,36067005200,52,1
2016-03-01,36067005400,54,4
2016-03-01,36067005602,56.02,1
2016-03-01,36067005700,57,2
2016-03-01,36067005800,58,1
2016-03-01,36067005900,59,1
2016-03-01,36067006000,60,1
2016-03-01,36067006101,61.01,5
2016-03-01,36067006102,61.02,2
2016-03-01,36067006103,61.03,2
2016-04-01,36067000100,01,37
2016-04-01,36067000200,02,4
2016-04-01,36067000400,04,2
2016-04-01,36067000501,05.01,5
2016-04-01,36067000600,06,6
2016-04-01,36067000900,09,3
2016-04-01,36067001000,10,4
2016-04-01,36067001500,15,2
2016-04-01,36067001600,16,6
2016-04-01,36067001701,17.01,2
2016-04-01,36067001702,17.02,4
2016-04-01,36067001800,18,2
2016-04-01,36067001900,19,2
2016-04-01,36067002000,20,2
2016-04-01,36067002101,21.01,6
2016-04-01,36067002300,23,8
2016-04-01,36067002400,24,3
2016-04-01,36067002700,27,1
2016-04-01,36067002901,29.01,3
2016-04-01,36067003000,30,4
2016-04-01,36067003200,32,13
2016-04-01,36067003400,34,3
2016-04-01,36067003500,35,2
2016-04-01,36067003601,36.01,2
2016-04-01,36067003602,36.02,6
2016-04-01,36067003800,38,2
2016-04-01,36067003900,39,2
2016-04-01,36067004000,40,4
2016-04-01,36067004200,42,1
2016-04-01,36067004301,43.01,2
2016-04-01,36067004302,43.02,18
2016-04-01,36067004400,44,9
2016-04-01,36067004500,45,2
2016-04-01,36067004800,48,2
2016-04-01,36067005000,50,3
2016-04-01,36067005400,54,3
2016-04-01,36067005500,55,4
2016-04-01,36067005601,56.01,1
2016-04-01,36067005700,57,2
2016-04-01,36067005800,58,2
2016-04-01,36067005900,59,3
2016-04-01,36067006000,60,4
2016-04-01,36067006101,61.01,12
2016-04-01,36067006102,61.02,1
2016-04-01,36067006103,61.03,1
2016-05-01,36067000100,01,37
2016-05-01,36067000200,02,1
2016-05-01,36067000300,03,1
2016-05-01,36067000400,04,4
2016-05-01,36067000501,05.01,6
2016-05-01,36067000600,06,6
2016-05-01,36067000700,07,3
2016-05-01,36067000800,08,4
2016-05-01,36067000900,09,1
2016-05-01,36067001000,10,2
2016-05-01,36067001400,14,2
2016-05-01,36067001500,15,3
2016-05-01,36067001600,16,1
2016-05-01,36067001701,17.01,2
2016-05-01,36067001702,17.02,7
2016-05-01,36067001800,18,6
2016-05-01,36067001900,19,2
2016-05-01,36067002000,20,4
2016-05-01,36067002101,21.01,10
2016-05-01,36067002300,23,7
2016-05-01,36067002400,24,3
2016-05-01,36067002700,27,5
2016-05-01,36067003000,30,3
2016-05-01,36067003200,32,23
2016-05-01,36067003400,34,4
2016-05-01,36067003500,35,4
2016-05-01,36067003602,36.02,8
2016-05-01,36067003800,38,4
2016-05-01,36067003900,39,3
2016-05-01,36067004000,40,3
2016-05-01,36067004301,43.01,4
2016-05-01,36067004302,43.02,7
2016-05-01,36067004400,44,6
2016-05-01,36067004500,45,3
2016-05-01,36067004600,46,4
2016-05-01,36067004900,49,1
2016-05-01,36067005000,50,2
2016-05-01,36067005100,51,3
2016-05-01,36067005200,52,2
2016-05-01,36067005300,53,1
2016-05-01,36067005400,54,4
2016-05-01,36067005500,55,2
2016-05-01,36067005800,58,2
2016-05-01,36067006000,60,2
2016-05-01,36067006101,61.01,10
2016-05-01,36067006102,61.02,1
2016-06-01,36067000100,01,44
2016-06-01,36067000200,02,6
2016-06-01,36067000300,03,3
2016-06-01,36067000501,05.01,9
2016-06-01,36067000600,06,3
2016-06-01,36067000700,07,1
2016-06-01,36067000800,08,1
2016-06-01,36067000900,09,6
2016-06-01,36067001000,10,7
2016-06-01,36067001400,14,3
2016-06-01,36067001500,15,5
2016-06-01,36067001600,16,6
2016-06-01,36067001701,17.01,2
