month,geoid,tract,count
2018-07-01,36067000100,01,53
2018-07-01,36067000200,02,5
2018-07-01,36067000300,03,1
2018-07-01,36067000400,04,5
2018-07-01,36067000501,05.01,6
2018-07-01,36067000600,06,8
2018-07-01,36067000700,07,1
2018-07-01,36067000900,09,1
2018-07-01,36067001000,10,5
2018-07-01,36067001400,14,4
2018-07-01,36067001500,15,3
2018-07-01,36067001600,16,4
2018-07-01,36067001701,17.01,4
2018-07-01,36067001702,17.02,6
2018-07-01,36067001800,18,1
2018-07-01,36067001900,19,2
2018-07-01,36067002101,21.01,5
2018-07-01,36067002300,23,6
2018-07-01,36067002700,27,1
2018-07-01,36067002901,29.01,5
2018-07-01,36067003000,30,2
2018-07-01,36067003200,32,9
2018-07-01,36067003400,34,3
2018-07-01,36067003500,35,4
2018-07-01,36067003601,36.01,5
2018-07-01,36067003602,36.02,6
2018-07-01,36067003800,38,3
2018-07-01,36067003900,39,4
2018-07-01,36067004000,40,1
2018-07-01,36067004200,42,3
2018-07-01,36067004301,43.01,3
2018-07-01,36067004302,43.02,4
2018-07-01,36067004400,44,2
2018-07-01,36067004500,45,4
2018-07-01,36067004600,46,3
2018-07-01,36067005000,50,1
2018-07-01,36067005100,51,2
2018-07-01,36067005200,52,2
2018-07-01,36067005300,53,2
2018-07-01,36067005400,54,1
2018-07-01,36067005500,55,5
2018-07-01,36067005601,56.01,1
2018-07-01,36067005800,58,1
2018-07-01,36067005900,59,3
2018-07-01,36067006000,60,1
2018-07-01,36067006101,61.01,5
2018-07-01,36067006102,61.02,3
2018-07-01,36067006103,61.03,3
2018-08-01,36067000100,01,36
2018-08-01,36067000200,02,4
2018-08-01,36067000300,03,1
2018-08-01,36067000400,04,2
2018-08-01,36067000501,05.01,2
2018-08-01,36067000600,06,7
2018-08-01,36067000700,07,1
2018-08-01,36067000800,08,3
2018-08-01,36067000900,09,3
2018-08-01,36067001000,10,4
2018-08-01,36067001400,14,2
2018-08-01,36067001500,15,6
2018-08-01,36067001600,16,5
2018-08-01,36067001701,17.01,3
2018-08-01,36067001702,17.02,2
2018-08-01,36067001800,18,4
2018-08-01,36067001900,19,10
2018-08-01,36067002000,20,1
2018-08-01,36067002101,21.01,15
2018-08-01,36067002300,23,13
2018-08-01,36067002400,24,5
2018-08-01,36067002700,27,5
2018-08-01,36067002901,29.01,7
2018-08-01,36067003000,30,2
2018-08-01,36067003200,32,20
2018-08-01,36067003400,34,5
2018-08-01,36067003500,35,7
2018-08-01,36067003601,36.01,2
2018-08-01,36067003602,36.02,6
2018-08-01,36067003800,38,2
2018-08-01,36067003900,39,4
2018-08-01,36067004200,42,4
2018-08-01,36067004302,43.02,8
2018-08-01,36067004400,44,9
2018-08-01,36067004500,45,9
2018-08-01,36067004600,46,8
2018-08-01,36067004800,48,1
2018-08-01,36067005000,50,1
2018-08-01,36067005200,52,2
2018-08-01,36067005300,53,1
2018-08-01,36067005400,54,4
2018-08-01,36067005500,55,7
2018-08-01,36067005601,56.01,1
2018-08-01,36067005700,57,2
2018-08-01,36067005800,58,1
2018-08-01,36067005900,59,2
2018-08-01,36067006000,60,10
2018-08-01,36067006101,61.01,7
2018-08-01,36067006103,61.03,2
2018-09-01,36067000100,01,35
2018-09-01,36067000200,02,1
2018-09-01,36067000300,03,4
2018-09-01,36067000400,04,5
2018-09-01,36067000501,05.01,5
2018-09-01,36067000600,06,9
2018-09-01,36067000700,07,2
2018-09-01,36067000800,08,4
2018-09-01,36067000900,09,6
2018-09-01,36067001000,10,6
2018-09-01,36067001400,14,2
2018-09-01,36067001500,15,10
2018-09-01,36067001600,16,10
2018-09-01,36067001702,17.02,2
2018-09-01,36067001800,18,5
2018-09-01,36067001900,19,8
2018-09-01,36067002000,20,2
2018-09-01,36067002101,21.01,2
2018-09-01,36067002300,23,7
2018-09-01,36067002400,24,1
2018-09-01,36067002700,27,2
2018-09-01,36067002901,29.01,2
2018-09-01,36067003000,30,1
2018-09-01,36067003200,32,31
2018-09-01,36067003400,34,4
2018-09-01,36067003500,35,3
2018-09-01,36067003601,36.01,4
2018-09-01,36067003602,36.02,4
2018-09-01,36067003800,38,2
2018-09-01,36067003900,39,4
2018-09-01,36067004000,40,5
2018-09-01,36067004200,42,5
2018-09-01,36067004302,43.02,7
2018-09-01,36067004400,44,9
2018-09-01,36067004500,45,11
2018-09-01,36067004600,46,8
2018-09-01,36067004800,48,2
2018-09-01,36067004900,49,1
2018-09-01,36067005000,50,5
2018-09-01,36067005100,51,1
2018-09-01,36067005200,52,5
2018-09-01,36067005300,53,4
2018-09-01,36067005400,54,5
2018-09-01,36067005500,55,6
2018-09-01,36067005601,56.01,4
2018-09-01,36067005700,57,1
2018-09-01,36067005800,58,5
2018-09-01,36067005900,59,1
2018-09-01,36067006000,60,2
2018-09-01,36067006101,61.01,8
2018-09-01,36067006102,61.02,5
2018-09-01,36067006103,61.03,2
2018-10-01,36067000100,01,29
2018-10-01,36067000200,02,4
2018-10-01,36067000300,03,3
2018-10-01,36067000400,04,5
2018-10-01,36067000501,05.01,6
2018-10-01,36067000600,06,8
2018-10-01,36067000700,07,4
2018-10-01,36067000800,08,2
2018-10-01,36067000900,09,12
2018-10-01,36067001000,10,6
2018-10-01,36067001400,14,2
2018-10-01,36067001500,15,6
2018-10-01,36067001600,16,9
2018-10-01,36067001701,17.01,4
2018-10-01,36067001702,17.02,3
2018-10-01,36067001800,18,6
2018-10-01,36067001900,19,5
2018-10-01,36067002000,20,1
2018-10-01,36067002101,21.01,4
2018-10-01,36067002300,23,3
2018-10-01,36067002400,24,2
2018-10-01,36067002700,27,4
2018-10-01,36067002901,29.01,8
2018-10-01,36067003000,30,6
2018-10-01,36067003200,32,14
2018-10-01,36067003400,34,4
2018-10-01,36067003500,35,5
2018-10-01,36067003601,36.01,4
2018-10-01,36067003602,36.02,8
2018-10-01,36067003800,38,1
2018-10-01,36067003900,39,6
2018-10-01,36067004000,40,1
2018-10-01,36067004200,42,4
2018-10-01,36067004302,43.02,11
2018-10-01,36067004400,44,16
2018-10-01,36067004500,45,8
2018-10-01,36067004600,46,9
2018-10-01,36067004800,48,1
