month,geoid,tract,count
2016-01-01,36067000100,01,5
2016-01-01,36067000200,02,6
2016-01-01,36067000400,04,4
2016-01-01,36067000501,05.01,6
2016-01-01,36067000600,06,3
2016-01-01,36067000800,08,4
2016-01-01,36067001000,10,1
2016-01-01,36067001400,14,8
2016-01-01,36067001500,15,4
2016-01-01,36067001600,16,1
2016-01-01,36067001701,17.01,4
2016-01-01,36067001702,17.02,4
2016-01-01,36067001800,18,2
2016-01-01,36067001900,19,1
2016-01-01,36067002000,20,3
2016-01-01,36067002101,21.01,7
2016-01-01,36067002300,23,4
2016-01-01,36067002400,24,4
2016-01-01,36067002700,27,1
2016-01-01,36067002901,29.01,2
2016-01-01,36067003000,30,2
2016-01-01,36067003200,32,12
2016-01-01,36067003400,34,5
2016-01-01,36067003500,35,9
2016-01-01,36067003601,36.01,2
2016-01-01,36067003602,36.02,3
2016-01-01,36067003800,38,4
2016-01-01,36067003900,39,7
2016-01-01,36067004000,40,4
2016-01-01,36067004200,42,1
2016-01-01,36067004302,43.02,2
2016-01-01,36067004400,44,4
2016-01-01,36067004500,45,12
2016-01-01,36067004600,46,7
2016-01-01,36067004800,48,1
2016-01-01,36067004900,49,1
2016-01-01,36067005100,51,3
2016-01-01,36067005200,52,5
2016-01-01,36067005400,54,6
2016-01-01,36067005500,55,1
2016-01-01,36067005601,56.01,1
2016-01-01,36067005602,56.02,1
2016-01-01,36067005700,57,2
2016-01-01,36067005800,58,4
2016-01-01,36067005900,59,3
2016-01-01,36067006000,60,3
2016-01-01,36067006101,61.01,10
2016-02-01,36067000100,01,12
2016-02-01,36067000200,02,5
2016-02-01,36067000300,03,1
2016-02-01,36067000400,04,2
2016-02-01,36067000501,05.01,6
2016-02-01,36067000600,06,2
2016-02-01,36067000700,07,1
2016-02-01,36067000800,08,1
2016-02-01,36067000900,09,2
2016-02-01,36067001000,10,4
2016-02-01,36067001400,14,1
2016-02-01,36067001500,15,4
2016-02-01,36067001701,17.01,2
2016-02-01,36067001702,17.02,1
2016-02-01,36067001800,18,4
2016-02-01,36067001900,19,4
2016-02-01,36067002000,20,4
2016-02-01,36067002101,21.01,9
2016-02-01,36067002300,23,1
2016-02-01,36067002400,24,2
