6387,300 Fayette Blvd,Syracuse,NY,
6388,500 S State St,Syracuse,NY,
6389,1200 Burnet Av,Syracuse,NY,
6390,300 W Genesee St,Syracuse,NY,
6391,1200 Highland St,Syracuse,NY,
6392,200 N Townsend St,Syracuse,NY,
6393,500 Spring St,Syracuse,NY,
6394,1000 Irving Av,Syracuse,NY,
6395,300 Prospect Av,Syracuse,NY,
6396,300 S Salina St,Syracuse,NY,
6397,2158 Park St,Syracuse,NY,
6398,100 Greenland Dr,Syracuse,NY,
6399,300 Hamilton St,Syracuse,NY,
6400,2158 Park St,Syracuse,NY,
6401,300 N Clinton St,Syracuse,NY,
6402,300 W Kennedy St,Syracuse,NY,
6403,2200 S Salina St,Syracuse,NY,
6404,100 Davis St,Syracuse,NY,
6405,300 S Clinton St,Syracuse,NY,
6406,300 South Av,Syracuse,NY,
6407,100 Gertrude St,Syracuse,NY,
6408,300 Oakwood Av,Syracuse,NY,
6409,500 Cumberland Av,Syracuse,NY,
6410,900 James St,Syracuse,NY,
6411,300 Hawley Av,Syracuse,NY,
6412,2158 Park St,Syracuse,NY,
6413,100 Valley Dr,Syracuse,NY,
6414,2500 Erie Blvd E,Syracuse,NY,
6415,100 Merriman Av,Syracuse,NY,
6416,1000 S Geddes St,Syracuse,NY,
6417,400 W Ostrander Av,Syracuse,NY,
6418,100 Unknown,Syracuse,NY,
6419,1200 Madison St,Syracuse,NY,
6420,700 First North St,Syracuse,NY,
6421,2158 Park St,Syracuse,NY,
6422,2158 Park St,Syracuse,NY,
6423,200 Hurlburt Rd,Syracuse,NY,
6424,100 Merrill St,Syracuse,NY,
6425,500 Cumberland Av,Syracuse,NY,
6426,800 N Geddes St,Syracuse,NY,
6427,200 W Brighton Av,Syracuse,NY,
6428,200 Helen St,Syracuse,NY,
6429,300 Allen St,Syracuse,NY,
6430,100 W Fayette St,Syracuse,NY,
6431,200 Milton Av,Syracuse,NY,
6432,100 Richardson Av,Syracuse,NY,
6433,200 Gordon Av,Syracuse,NY,
6434,1500 Lodi St,Syracuse,NY,
6435,700 Irving Av,Syracuse,NY,
6436,300 Putnam St,Syracuse,NY,
6437,1100 N Salina St,Syracuse,NY,
6438,200 Hier Av,Syracuse,NY,
6439,800 Livingston Av,Syracuse,NY,
6440,1700 W Onondaga St,Syracuse,NY,
6441,1700 S State St,Syracuse,NY,
6442,100 Woodside Dr,Syracuse,NY,
6443,100 Herkimer St,Syracuse,NY,
6444,1400 E Washington St,Syracuse,NY,
6445,2158 Park St,Syracuse,NY,
6446,2158 Park St,Syracuse,NY,
6447,2158 Park St,Syracuse,NY,
6448,100 Simon Dr,Syracuse,NY,
6449,300 Hiawatha Blvd W,Syracuse,NY,
6450,100 Ballantyne Rd,Syracuse,NY,
6451,300 Allen St,Syracuse,NY,
6452,400 Lillian Av,Syracuse,NY,
6453,1300 Butternut St,Syracuse,NY,
6454,2400 S Salina St,Syracuse,NY,
6455,200 Union Av,Syracuse,NY,
6456,100 Nelson St,Syracuse,NY,
