"police_call_crime","police_call_address_display","police_call_city","police_call_agency","police_call_date","police_call_time_display"
"Aggravated assault","100 block Ballantyne Rd","Syracuse","Syracuse","11/15/2018","8:50 p.m.-9:07 a.m."
"Aggravated assault","700 block N  Alvord St","Syracuse","Syracuse","11/15/2018","10:04 a.m.-10:00 a.m."
"Arson","100 block E  Washington St","Syracuse","Syracuse","11/15/2018","5:13 a.m."
"Burglary","1100 block W  Onondaga St","Syracuse","Syracuse","11/15/2018","10:54 a.m."
"Larceny","500 block S  State St","Syracuse","Syracuse","11/15/2018","10:52 a.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","11/15/2018","6:39 p.m."
"Robbery","1000 block Highland St","Syracuse","Syracuse","11/15/2018","11:51 p.m."
"Vehicle theft","800 block Danforth St","Syracuse","Syracuse","11/15/2018","5:50 p.m.-6:20 p.m."
"Burglary","1900 block South Av","Syracuse","Syracuse","11/14/2018","2:56 a.m."
"Burglary","200 block Hall Av","Syracuse","Syracuse","11/14/2018","3:09 p.m."
"Larceny","300 block Marcellus St","Syracuse","Syracuse","11/14/2018","8:00 p.m.-8:00 a.m."
"Larceny","100 block E  Bissell St","Syracuse","Syracuse","11/14/2018","10:00 a.m."
"Larceny","1600 block Erie Blvd E","Syracuse","Syracuse","11/14/2018","12:56 p.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","11/14/2018","1:31 p.m."
"Larceny","1400 block Ivy Ridge Rd","Syracuse","Syracuse","11/14/2018","7:49 p.m."
"Larceny","1200 block Ivy Ridge Rd","Syracuse","Syracuse","11/14/2018","7:20 p.m.-7:50 p.m."
"Larceny","900 block Ivy Ridge Rd","Syracuse","Syracuse","11/14/2018","5:00 p.m.-8:00 p.m."
"Larceny","300 block Ivy Ridge Rd","Syracuse","Syracuse","11/14/2018","4:28 p.m.-7:30 p.m."
"Larceny","100 block Albert Ter","Syracuse","Syracuse","11/14/2018","12:00 a.m."
"Robbery","800 block James St","Syracuse","Syracuse","11/14/2018","2:08 p.m."
"Robbery","1300 block Comstock Av","Syracuse","Syracuse","11/14/2018","6:45 p.m."
"Vehicle theft","1000 block Highland St","Syracuse","Syracuse","11/14/2018","3:41 a.m."
"Vehicle theft","200 block Vann St","Syracuse","Syracuse","11/14/2018","8:50 a.m."
"Aggravated assault","200 block W  Colvin St","Syracuse","Syracuse","11/13/2018","10:34 p.m."
"Burglary","100 block Circle Rd","Syracuse","Syracuse","11/13/2018","5:01 p.m."
"Larceny","400 block Clover Ridge Dr","Syracuse","Syracuse","11/13/2018","10:00 p.m.-5:50 a.m."
"Larceny","1300 block Cumberland Ave","Syracuse","Syracuse","11/13/2018","8:45 a.m."
"Larceny","1600 block Westmoreland Ave","Syracuse","Syracuse","11/13/2018","2:00 p.m.-8:25 a.m."
"Larceny","300 block E  Brighton Ave","Syracuse","Syracuse","11/13/2018","9:10 p.m.-8:00 a.m."
"Larceny","300 block E  Brighton Ave","Syracuse","Syracuse","11/13/2018","9:00 p.m.-8:05 a.m."
"Larceny","300 block Prospect Ave","Syracuse","Syracuse","11/13/2018","4:00 p.m.-7:10 a.m."
"Larceny","3100 block E  Genesee St","Syracuse","Syracuse","11/13/2018","10:30 a.m.-11:00 a.m."
"Vehicle theft","100 block Loehr Av","Syracuse","Syracuse","11/13/2018","8:34 a.m."
"Vehicle theft","100 block Constellation Way  N","Syracuse","Syracuse","11/13/2018","1:47 p.m."
"Vehicle theft","100 block Constellation Way  N","Syracuse","Syracuse","11/13/2018","1:48 p.m."
"Vehicle theft","1800 block E  Fayette St","Syracuse","Syracuse","11/13/2018","7:25 p.m."
"Burglary","200 block Moore Av","Syracuse","Syracuse","11/12/2018","10:03 a.m."
"Burglary","300 block Park St","Syracuse","Syracuse","11/12/2018","10:42 a.m."
"Burglary","100 block Mary St","Syracuse","Syracuse","11/12/2018","4:31 p.m."
"Burglary","100 block Davis St","Syracuse","Syracuse","11/12/2018","3:00 p.m.-7:30 p.m."
"Larceny","100 block Raymond Av","Syracuse","Syracuse","11/12/2018","10:30 p.m.-6:11 a.m."
"Larceny","500 block James St","Syracuse","Syracuse","11/12/2018","1:51 p.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","11/12/2018","4:31 p.m."
"Larceny","800 block N  Clinton St","Syracuse","Syracuse","11/12/2018","12:00 a.m.-12:00 p.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","11/12/2018","6:56 p.m."
"Larceny","100 block Lincoln Av","Syracuse","Syracuse","11/12/2018","10:19 p.m."
"Vehicle theft","200 block Glenwood Av","Syracuse","Syracuse","11/12/2018","9:42 p.m."
"Aggravated assault","600 block E  Division St","Syracuse","Syracuse","11/11/2018","4:15 a.m.-4:24 a.m."
"Aggravated assault","3500 block Midland Av","Syracuse","Syracuse","11/11/2018","10:58 a.m."
"Aggravated assault","400 block Sunset Av","Syracuse","Syracuse","11/11/2018","7:26 p.m."
"Aggravated assault","400 block Winton St","Syracuse","Syracuse","11/11/2018","10:09 p.m."
"Burglary","100 block Rose Av","Syracuse","Syracuse","11/11/2018","8:00 p.m.-4:38 a.m."
"Burglary","600 block Walnut Av","Syracuse","Syracuse","11/11/2018","10:51 a.m."
"Burglary","300 block Hawley Av","Syracuse","Syracuse","11/11/2018","7:57 p.m."
"Burglary","900 block N  Clinton St","Syracuse","Syracuse","11/11/2018","12:53 a.m.-12:54 a.m."
"Burglary","500 block Beattie St","Syracuse","Syracuse","11/11/2018","3:00 p.m.-9:30 a.m."
"Larceny","2000 block E  Genesee St","Syracuse","Syracuse","11/11/2018","11:00 p.m.-8:00 a.m."
"Larceny","400 block S  Clinton St","Syracuse","Syracuse","11/11/2018","8:00 p.m.-11:00 a.m."
"Larceny","100 block N  Midler Av","Syracuse","Syracuse","11/11/2018","6:58 p.m."
"Larceny","100 block Hier Av","Syracuse","Syracuse","11/11/2018","10:01 p.m."
"Larceny","800 block Livingston Ave","Syracuse","Syracuse","11/11/2018","12:30 p.m.-10:00 a.m."
"Larceny","300 block N  Clinton St","Syracuse","Syracuse","11/11/2018","4:50 p.m.-11:45 a.m."
"Aggravated assault","100 block Wiman Av","Syracuse","Syracuse","11/10/2018","7:53 p.m."
"Larceny","900 block James St","Syracuse","Syracuse","11/10/2018","9:22 a.m."
"Larceny","100 block Eldorado St","Syracuse","Syracuse","11/10/2018","8:00 p.m.-10:00 a.m."
"Larceny","200 block Harrison St","Syracuse","Syracuse","11/10/2018","12:00 p.m.-2:00 p.m."
"Larceny","3600 block Midland Av","Syracuse","Syracuse","11/10/2018","9:00 a.m.-1:30 p.m."
"Larceny","500 block W  Genesee St","Syracuse","Syracuse","11/10/2018","12:00 a.m.-12:00 p.m."
"Larceny","200 block Pleasantview Ave","Syracuse","Syracuse","11/10/2018","2:00 a.m.-9:00 a.m."
"Larceny","300 block Wilson St","Syracuse","Syracuse","11/10/2018","1:25 a.m."
"Larceny","700 block Comstock Ave","Syracuse","Syracuse","11/10/2018","5:00 a.m.-5:10 a.m."
"Robbery","300 block S  Salina St","Syracuse","Syracuse","11/10/2018","6:00 a.m."
"Robbery","500 block Hiawatha Blvd","Syracuse","Syracuse","11/10/2018","6:30 a.m."
"Vehicle theft","1900 block Caleb Av","Syracuse","Syracuse","11/10/2018","1:00 a.m.-6:00 a.m."
"Vehicle theft","1500 block Bellevue Av","Syracuse","Syracuse","11/10/2018","6:59 p.m."
"Aggravated assault","500 block Bellevue Av","Syracuse","Syracuse","11/9/2018","12:29 a.m."
"Aggravated assault","200 block Ashworth Pl","Syracuse","Syracuse","11/9/2018","3:22 p.m."
"Aggravated assault","100 block Berger Av","Syracuse","Syracuse","11/9/2018","10:00 p.m."
"Burglary","100 block John St","Syracuse","Syracuse","11/9/2018","12:30 a.m.-6:00 a.m."
"Burglary","500 block E  Fayette St","Syracuse","Syracuse","11/9/2018","9:00 a.m.-10:30 a.m."
"Burglary","1100 block E  Fayette St","Syracuse","Syracuse","11/9/2018","6:00 a.m.-11:45 a.m."
"Burglary","1700 block Onondaga St","Syracuse","Syracuse","11/9/2018","12:00 p.m."
"Larceny","100 block Latimer Ter","Syracuse","Syracuse","11/9/2018","1:24 a.m."
"Larceny","100 block Shotwell Pk","Syracuse","Syracuse","11/9/2018","10:30 p.m.-7:50 a.m."
"Larceny","300 block Putnam St","Syracuse","Syracuse","11/9/2018","11:05 a.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","11/9/2018","10:09 p.m."
