"police_call_crime","police_call_address_display","police_call_city","police_call_agency","police_call_date","police_call_time_display"
"Aggravated assault","400 block Cannon St","Syracuse","Syracuse","6/3/2018","1:29 p.m."
"Aggravated assault","100 block Rich St","Syracuse","Syracuse","6/3/2018","10:12 p.m."
"Aggravated assault","2000 block E  Fayette St","Syracuse","Syracuse","6/3/2018","10:24 p.m."
"Burglary","300 block Court St","Syracuse","Syracuse","6/3/2018","4:00 a.m.-4:50 a.m."
"Burglary","200 block North Av","Syracuse","Syracuse","6/3/2018","12:00 p.m.-2:30 p.m."
"Larceny","100 block E  Brighton Av","Syracuse","Syracuse","6/3/2018","12:05 a.m.-2:24 a.m."
"Larceny","400 block Seuart Av","Syracuse","Syracuse","6/3/2018","5:00 p.m.-9:00 a.m."
"Vehicle theft","700 block Danforth St","Syracuse","Syracuse","6/3/2018","12:30 p.m.-3:45 p.m."
"Larceny","900 block James St","Syracuse","Syracuse","6/2/2018","12:05 a.m."
"Larceny","4800 block S  Salina St","Syracuse","Syracuse","6/2/2018","11:30 a.m."
"Larceny","100 block Spring St","Syracuse","Syracuse","6/2/2018","7:30 a.m.-10:30 p.m."
"Robbery","3500 block S  Salina St","Syracuse","Syracuse","6/2/2018","4:10 p.m."
"Aggravated assault","100 block Sheridan Dr","Syracuse","Syracuse","6/1/2018","5:00 p.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","6/1/2018","10:14 a.m."
"Larceny","800 block Erie Blvd W","Syracuse","Syracuse","6/1/2018","5:00 p.m."
"Larceny","1 block Destiny Usa Dr","Syracuse","Syracuse","6/1/2018","8:50 p.m.-9:15 p.m."
"Larceny","300 block Spring St","Syracuse","Syracuse","6/1/2018","3:00 p.m.-7:50 a.m."
"Vehicle theft","100 block Eldorado St","Syracuse","Syracuse","6/1/2018","12:57 a.m."
"Vehicle theft","100 block Tomahawk St","Syracuse","Syracuse","6/1/2018","10:31 a.m.-10:30 p.m."
"Aggravated assault","300 block Court St","Syracuse","Syracuse","5/31/2018","12:59 a.m."
"Aggravated assault","100 block Hiawatha Blvd W","Syracuse","Syracuse","5/31/2018","4:54 p.m."
"Aggravated assault","300 block Griffiths St","Syracuse","Syracuse","5/31/2018","10:26 p.m."
"Burglary","100 block Rugby Rd","Syracuse","Syracuse","5/31/2018","11:00 p.m.-7:00 a.m."
"Burglary","300 block Richmond Av","Syracuse","Syracuse","5/31/2018","10:00 a.m."
